timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-07-22,74427.57420000,75081.24848000,70982.80000000,72671.69868000,10590.15000000,10683.16000000,10100.00000000,10340.31000000,40467.95483900,40467.95483900
2019-07-21,75482.61756000,76028.20120000,72304.06400000,74422.65460000,10740.27000000,10817.90000000,10288.00000000,10589.45000000,38834.28793500,38834.28793500
2019-07-20,73834.62184000,77792.86172000,72739.80000000,75482.33644000,10505.78000000,11068.99000000,10350.00000000,10740.23000000,47331.89984800,47331.89984800
2019-07-19,74698.08192000,75689.52188000,71136.29152000,73824.15012000,10628.64000000,10769.71000000,10121.84000000,10504.29000000,56546.93213300,56546.93213300
2019-07-18,67952.74808000,75818.06400000,65023.05600000,74687.68048000,9668.86000000,10788.00000000,9252.00000000,10627.16000000,80283.31025200,80283.31025200
2019-07-17,66275.23476000,69977.79600000,63673.68000000,67946.14176000,9430.17000000,9957.00000000,9060.00000000,9667.92000000,84942.67271700,84942.67271700
2019-07-16,76139.80584000,77504.78400000,65711.87028000,66341.43852000,10833.78000000,11028.00000000,9350.01000000,9439.59000000,97219.44341300,97219.44341300
2019-07-15,71504.13704000,78010.80000000,69296.08000000,76174.52416000,10174.18000000,11100.00000000,9860.00000000,10838.72000000,81922.42633200,81922.42633200
2019-07-14,79808.42184000,80484.65600000,71003.88400000,71504.13704000,11355.78000000,11452.00000000,10103.00000000,10174.18000000,72517.57923600,72517.57923600
2019-07-13,82629.74216000,82930.25944000,76113.24000000,79808.28128000,11757.22000000,11799.98000000,10830.00000000,11355.76000000,54245.59454800,54245.59454800
2019-07-12,79717.76064000,83527.78000000,77821.04400000,82629.74216000,11342.88000000,11885.00000000,11073.00000000,11757.22000000,56321.85828100,56321.85828100
2019-07-11,85095.79708000,85121.23844000,77308.00000000,79717.83092000,12108.11000000,12111.73000000,11000.00000000,11342.89000000,87506.46105800,87506.46105800
2019-07-10,88190.92828000,92397.67824000,81306.93200000,85097.62436000,12548.51000000,13147.08000000,11569.00000000,12108.37000000,109246.04499700,109246.04499700
2019-07-09,86012.88080000,89921.36244000,84813.90400000,88155.08548000,12238.60000000,12794.73000000,12068.00000000,12543.41000000,78442.13034300,78442.13034300
2019-07-08,80189.48000000,86711.67484000,78854.16000000,86012.88080000,11410.00000000,12338.03000000,11220.00000000,12238.60000000,52182.36721500,52182.36721500
2019-07-07,79110.33060000,81089.06400000,77971.23236000,80163.05472000,11256.45000000,11538.00000000,11094.37000000,11406.24000000,38884.79559900,38884.79559900
2019-07-06,77184.37748000,81981.62000000,77058.57628000,79110.61172000,10982.41000000,11665.00000000,10964.51000000,11256.49000000,51469.49633100,51469.49633100
2019-07-05,78331.76876000,80167.20124000,75877.38032000,77102.29044000,11145.67000000,11406.83000000,10796.44000000,10970.73000000,63534.35058200,63534.35058200
2019-07-04,83914.32000000,84336.00000000,77694.54000000,78331.76876000,11940.00000000,12000.00000000,11055.00000000,11145.67000000,66512.22189200,66512.22189200
2019-07-03,76218.51944000,84279.00292000,76190.82912000,83914.32000000,10844.98000000,11991.89000000,10841.04000000,11940.00000000,96815.90029000,96815.90029000
2019-07-02,74671.79720000,76877.53500000,68361.35600000,76203.54980000,10624.90000000,10938.75000000,9727.00000000,10842.85000000,109561.03872800,109561.03872800
